Gene	Operon
SM2011_c01022	291
SM2011_c01026	292
SM2011_c01030	293
SM2011_c01040	294
SM2011_c01041	295
SM2011_c01044	296
SM2011_c01048	297
SM2011_c01052	298
SM2011_c01053	299
SM2011_c02119	300
SM2011_c02115	301
SM2011_c02110	302
SM2011_c02103	303
SM2011_c02099	304
SM2011_c02094	305
SM2011_c02085	306
SM2011_c02074	307
SM2011_c02071	308
SM2011_c02066	309
SM2011_c02064	310
SM2011_c02057	311
SM2011_c02052	312
SM2011_c02047	313
SM2011_c01235	314
SM2011_c01227	315
SM2011_c01222	316
SM2011_c01218	317
SM2011_c01209	318
SM2011_c01207	319
SM2011_c01192	320
SM2011_c01187	321
SM2011_c01179	322
SM2011_c01176	323
SM2011_c01174	324
SM2011_c01172	325
SM2011_c00937	326
SM2011_c00942	327
SM2011_c00951	328
SM2011_c00959	329
SM2011_c00227	330
SM2011_c00231	331
SM2011_c00234	332
SM2011_c00245	333
SM2011_c00247	334
SM2011_c00250	335
SM2011_c04437	336
SM2011_c00264	337
SM2011_c00266	338
SM2011_c00268	339
SM2011_c00270	340
SM2011_c00271	341
SM2011_c00277	342
SM2011_c00283	343
SM2011_c00289	344
SM2011_c00294	345
SM2011_c00296	346
SM2011_c00530	347
SM2011_c00528	348
SM2011_c00524	349
SM2011_c00522	350
SM2011_c00517	351
SM2011_c00514	352
SM2011_c00513	353
SM2011_c00511	354
SM2011_c00503	355
SM2011_c00501	356
SM2011_c00495	357
SM2011_c00534	358
SM2011_c00481	359
SM2011_c00467	360
SM2011_c00462	361
SM2011_c00187	362
SM2011_c00185	363
SM2011_c00180	364
SM2011_c00174	365
SM2011_c00161	366
SM2011_c00159	367
SM2011_c00147	368
SM2011_c00197	369
SM2011_c00198	370
SM2011_c00139	371
SM2011_c00133	372
SM2011_c04211	373
SM2011_c04216	374
SM2011_c04219	375
SM2011_c04222	376
SM2011_c04228	377
SM2011_c04240	378
SM2011_c04244	379
SM2011_c04248	380
SM2011_c04258	381
SM2011_c04262	382
SM2011_c04263	383
SM2011_c04265	384
SM2011_c04270	385
SM2011_c04277	386
SM2011_c04284	387
SM2011_c04293	388
SM2011_c04301	389
SM2011_c04305	390
SM2011_c04315	391
SM2011_c04327	392
SM2011_c04329	393
SM2011_c04337	394
SM2011_c04342	395
SM2011_c04162	396
SM2011_c04168	397
SM2011_c04179	398
SM2011_c04180	399
SM2011_c04187	400
SM2011_c04199	401
SM2011_c04203	402
SM2011_c04206	403
SM2011_c04441	404
SM2011_c04274	405
SM2011_c04289	406
